"Year","Trade.Flow","Commodity.Code","Netweight..kg."
"2012","Imports","810",0
"2012","Exports","810",0
"2012","Re-exports","810",0
"2012","Re-imports","810",0
"2013","Imports","810",0
"2013","Exports","810",0
"2013","Re-exports","810",0
"2013","Re-imports","810",0
"2014","Imports","810",0
"2014","Exports","810",0
"2014","Re-exports","810",0
"2014","Re-imports","810",0
"2015","Imports","810",0
"2015","Exports","810",0
"2015","Re-exports","810",0
"2015","Re-imports","810",0
"2016","Imports","810",0
"2016","Exports","810",0
"2016","Re-exports","810",0
"2016","Re-imports","810",0
"2017","Imports","810",0
"2017","Exports","810",0
"2017","Re-exports","810",0
"2017","Re-imports","810",0
"2018","Imports","810",0
"2018","Exports","810",0
"2018","Re-exports","810",0
"2018","Re-imports","810",0
"2019","Imports","810",0
"2019","Exports","810",0
"2019","Re-exports","810",0
"2019","Re-imports","810",0
"2020","Imports","810",0
"2020","Exports","810",0
"2020","Re-exports","810",0
"2020","Re-imports","810",0
